category;name;description;unit;unit_price;supplier;supplier_location;valid_from;valid_to
Erdarbeiten / Schüttgüter;Füllsand 0/2;Füllsand Körnung 0/2 mm, gewaschen, für Verfüllungen und Bettung, lose geliefert.;t;24.50;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Bettungssand 0/4;Bettungssand 0/4 mm, für Pflaster- und Leitungsbau, lose geliefert.;t;27.80;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Brechsand 0/5;Brechsand 0/5 mm, kantiges Korn, für Bettung und Ausgleichsschichten.;t;31.20;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Kies 0/16;Rundkies 0/16 mm, gewaschen, für Drainage, Verfüllung und allgemeine Bauzwecke.;t;29.90;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Kies 16/32;Rundkies 16/32 mm, gewaschen, für Drainage- und Filterschichten.;t;32.50;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Schotter 0/32;Mineralgemisch 0/32 mm, frostbeständig, für Tragschichten im Verkehrswegebau.;t;34.90;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Schotter 0/45;Mineralgemisch 0/45 mm, verdichtungsfähig, für Frostschutz- und Tragschichten.;t;33.40;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Frostschutz 0/32;Frostschutzmaterial 0/32 mm, güteüberwacht, für Straßen- und Wegebau.;t;36.20;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Frostschutz 0/56;Frostschutzmaterial 0/56 mm, für hoch belastete Unterbauten und Verkehrsflächen.;t;35.60;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Recycling-Schotter 0/45;RC-Mineralgemisch 0/45 mm, güteüberwacht, für technische Verfüllungen und Tragschichten.;t;22.80;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Mutterboden gesiebt;Gesiebter Oberboden, steinfrei, für Grünflächen und Landschaftsbau.;m³;38.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Humus-Sand-Gemisch;Vegetationstragschicht aus Humus und Sand, für Rasenflächen und Pflanzbereiche.;m³;46.50;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Splitt 2/5;Edelsplitt 2/5 mm, gewaschen, für Pflasterbettung und Fugen.;t;43.20;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Splitt 5/8;Edelsplitt 5/8 mm, für Drainage, Pflasterbau und Ausgleich.;t;44.00;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Basaltsplitt 8/16;Basaltsplitt 8/16 mm, druckfest, für Außenanlagen und Drainage.;t;52.00;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Erdarbeiten / Schüttgüter;Filterkies 8/16;Filterkies 8/16 mm, gewaschen, für Dränleitungen und Sickerschichten.;t;39.50;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
